pIC50,smiles
4.910094888560601,O=C1COc2ccc(CNC34CCC(CC5Cn6c(=O)ccc7ncc(F)c5c76)(CC3)OC4)nc2N1
5.522878745280337,COc1ccc(-c2cc3c(NC4CCC(C)(N)C4(C)C)c(C(N)=O)cnn3c2)cn1
7.599980364934843,Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4ccc(Cl)cc4)n2C)CC3)no1
5.0,Cc1nc(C(=O)NCCN2CCN(c3cccc(Cl)c3Cl)CC2)c(C)n1-c1ccccc1.Cl.Cl.Cl.Cl
4.0,O=C1Nc2cc(NC(=O)c3c[nH]cc(-c4ccccc4F)c3=O)ccc2C1=Cc1ccc[nH]1
4.301029995663981,Cc1cc(COc2nc(N)nc3ccn(Cc4ccccn4)c23)no1
5.886056647693162,Cc1cc[n+]([O-])c(C)c1C(=O)N1CCC(C)(N2CCC(N(Cc3cccc(C#N)c3)c3ccccc3)CC2)CC1
5.221848749616356,CSc1ncc(C2(O)CCC(N3CC(NC(=O)CNC(=O)c4cccc(C(F)(F)F)c4)C3)CC2)s1
5.1438755557577,COc1ccc2nccc(C(O)CCC3CCN(C4CC(c5cc(F)cc(F)c5)C4)CC3C(=O)O)c2c1
6.699991797446188,CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12
5.0,CCCC(=O)N1CCC(CN2CCC(NC(=O)c3cc(Cl)c(N)cc3OC)C(OC)C2)CC1
6.54515513999149,Cc1ccc(C#Cc2cccc(C#Cc3ccc(C)cc3)[n+]2C)cc1
5.200000237109354,N#Cc1cnccc1COc1cnc(N2CCN(c3noc(C(F)(F)F)n3)CC2)nc1
4.300000029139087,CC1(c2ccc(S(N)(=O)=O)cc2)NC(=O)N(CC(=O)c2cccc(OC(F)(F)F)c2)C1=O
5.0,Cc1c(CN2CCOCC2)cc(-c2ccc(C(C)C)cc2)n1-c1ccc(F)cc1
4.6777807052660805,NC1CC(N2Cc3cn(S(=O)(=O)C4CC4)nc3C2)COC1c1cc(F)ccc1F
4.636388020107856,O=C(N1CCc2ncc(C(F)(F)F)cc2C1)C12CCCC1CC(NC1CCSCC1)C2
4.3979400086720375,Cn1cnc(-c2ccc(OC3CCN(C(=O)Cc4ccc(OC5CC5)c(F)c4)CC3)c(C(N)=O)c2)c1
5.102372908709559,O=C1OCc2cc(CCC3CCN(C(=O)Cc4ccc(-n5cnnn5)cn4)CC3)ccc21
5.849999245077862,CN1CCN(CCCCN2C(=O)CN(N=Cc3ccc(-c4ccc(Cl)cc4)o3)C2=O)CC1
4.499999953328897,N#Cc1ccc(S(=O)(=O)NCCN2CC3CN(CCOc4ccccc4F)CC(C2)O3)cc1
6.920818753952375,COc1ccc(C2CN(CCC3CCOCC3)CC2CC(=O)Nc2cccc(Cl)c2)cc1
4.075720713938118,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C.Cl
4.0,NC1CN(c2ccc3nc(=O)ccn3n2)CCC1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F
5.267606240177033,CCCCC(CCO)Nc1nc(N)nc2ccc(C)cc12
5.6020599913279625,FC(F)(F)Oc1ccc(Oc2ccc(CN3CCC4(CCCCO4)CC3)cc2)cc1
6.4867823999320615,CCC1(c2cccc(NS(C)(=O)=O)c2)C2CN(CC3Cc4ccccc4C3)CC21
5.6020599913279625,CCCCN(CC)CCCCCc1ccc(Cl)cc1
4.698970004336019,CCOC(=O)C1CCC(N2CC(NC(=O)CNc3nn(C(N)=O)c4ccc(C(F)(F)F)cc34)C2)CC1
5.740645072691966,Cc1nc(C2(c3cnn(C)c3)NC(c3nc(-c4ccccc4)c[nH]3)Cc3c2[nH]c2ccccc32)no1
5.130768280269023,CC(C)(N)c1cc(C(=O)NC2CCc3ccc(Oc4ccnc5c4CCC(=O)N5)cc3C2)cc(C(F)(F)F)c1.Cl.Cl
4.886056647693163,CN1CCC(COCc2cncc(Br)c2)(c2ccccc2)CC1
5.0,CCOC(=O)C1CCN(c2ccc3c(Nc4cc(C)[nH]n4)nc(-c4ccccc4)nc3c2)CC1
4.6020599913279625,Nc1nc2cccc(-c3cccc(Cl)c3Cl)n2n1
4.5228787452803365,COC(=O)c1cnc(Nc2cnc(C#N)c(OC3CCNC3)n2)cc1N(C)C
5.886056647693162,CCN(CC)C(=O)c1ccc(C(=C2CCN(Cc3ccc(F)cc3)CC2)c2cccnc2)cc1
5.0,COc1cc(-c2cn(Cc3cccc(-n4cccn4)c3)nn2)ccc1-n1cnc(C)c1
4.7447274948966935,Cc1ncc(-c2nc(Nc3ccc(N4CCN(C(=O)CO)CC4)cc3)ncc2F)n1C(C)C
5.0,COc1ccc2nc(C)n(-c3ccc(OCCCN4CCCC4)cc3)c(=O)c2c1
6.638272163982407,CC1(C)CC(Oc2ccc(-c3ccc(-n4cccn4)cc3O)nn2)CC(C)(C)N1
4.221848749616356,N#Cc1c(CNC23CCC(CC4(O)Cn5c(=O)ccc6ncc(F)c4c65)(CC2)OC3)ncc2c1OCCO2
5.310691140876379,O=C(NC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)N1CCCC(CO)C1
5.026872146400302,COc1cc(N2CCN(CCS(C)(=O)=O)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1
5.3979400086720375,c1ccc(-c2cc(NC3=NCC4(CN5CCC4CC5)O3)ncn2)cc1
5.508638306165726,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
5.522878745280337,O=C1CC(c2nc(-c3cccc(Cl)c3)no2)CN1c1ccc(F)cc1
4.499999953328897,N#Cc1ccc(S(=O)(=O)NCCN2CC3CN(CCc4ccc(C(F)(F)F)cc4)CC(C2)O3)cc1
3.899629454882437,O=C1COc2cc(Cl)c(CNC34CCC(CC5(O)Cn6c(=O)ccc7ncc(F)c5c76)(CC3)OC4)nc2N1
5.0,CCC1Oc2ccc(-c3cncnc3)cc2C2(COC(N)=N2)C12COC2
5.214670164989234,O=C(Nc1ccc(CC2CCC(C(O)c3cccnc3)N2)cc1)C1CCc2scnc21
6.221848749616356,COc1ccc(C2CN(Cc3ccc(OC)c(OC)c3)CC2CNC(=O)c2cccc(Cl)c2)cc1
4.3979400086720375,COc1c(CCN2CCN(C(=O)Cc3ccc(-n4cnnn4)cc3)CC2)ccc2c1COC2=O
4.5228787452803365,Cc1nocc1C(=O)Nc1ccc(-c2ccccc2OC(F)(F)F)c(N)n1
4.920818753952375,Cc1nc(C2(c3cnn(C)c3)NC(c3nc(-c4ccc(F)cn4)c[nH]3)Cc3c2[nH]c2ccccc32)no1
5.0,Cc1cc(-n2cc3c(n2)CN(C(=O)c2cc(C#N)ccc2OC(C)C)C3)ccn1
5.318758762624412,CNCc1cc(S(=O)(=O)NC)ccc1Oc1ccc(Cl)c(Cl)c1
4.5228787452803365,COc1cc(C(O)(CCN(C)C)C(c2cc3cc(Br)ccc3nc2OC)c2cccc(OC)c2F)cc(OC(C)C)n1
4.5228787452803365,CNC(=O)CCCCCC(NC(=O)c1cncs1)c1ncc(-c2ccc(-c3ccn[nH]3)cc2)[nH]1
5.489999539566098,Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O
5.657577319177793,Clc1cnc2oc(N3CCN4CCC3CC4)nc2c1
5.337242168318426,CCNc1nc2c(c(C(N)=O)n1)CN(C(=O)CCc1ccc(OC(F)(F)F)cc1)CC2
4.301029995663981,CC(C)C(NC(=O)c1cc(C(F)(F)F)ccc1F)C(=O)N1CCC2(CC1)C(=O)N(C)C(=O)N2c1ccc2[nH]ncc2c1
5.1112590393171065,CCC(CC)N(C(=O)c1cccc(Cl)c1Cl)C1CCNC1
6.468521082957745,Oc1ccc2c(c1)CC(CN1CCC3(CCc4ccccc43)CC1)NC2
6.030002001401657,Cc1ccc(-c2nnc(SCCCN3CCC4(CC4c4ccc(C(F)(F)F)cc4)C3)n2C)c(C)n1
4.5228787452803365,O=C(O)C1CCN(Cc2ccc(Oc3nc4ccccc4s3)cc2)CC1
5.675717544702308,CNCc1ccc(Cl)cc1Oc1ccc(F)c(Cl)c1
6.130768280269023,Cc1nn(-c2ccccc2)cc1CN1CCC2(CC1)OCc1ccccc12
5.2441251443275085,Cc1c(C(O)CN2CCN(CC(O)c3ncc(C#N)cc3Cl)CC2)ccc2c1COC2=O
5.136677139879544,CC(C)c1nc(-c2nnc3n2CCN(C(=O)c2ccc(-c4cccs4)cc2)C3C)co1
3.7999999979341847,NC(CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F
5.100000128334196,CC1CCC(C)N1CCCNc1nnc(-c2ccc(NC(=O)c3ccccc3F)cc2)o1
5.9586073148417755,CC(=O)NCCc1ccccc1-c1ccc(C2CNCCC2c2ccc(F)c(F)c2)c(Cl)c1
4.5228787452803365,OC1CCC(Nc2ccn3ncc(-c4cccc(OC(F)(F)F)c4)c3n2)CC1
7.769551078621726,c1ccc(CCCNCCC(c2ccccc2)c2ccccc2)cc1
5.468521082957745,O=C1COc2ccccc2N1CCCN1CCC(n2c(=O)[nH]c3c(F)cccc32)CC1
6.522878745280337,CC1OC2(CCN(CCc3ccccc3)CC2)CN(c2ccccc2)C1=O
7.0,Cn1c(SCCCN2CCC3(CC3c3ccc(C(F)(F)F)cc3)C2)nnc1-c1ccsc1
5.0,Cc1cc(SCCN2CCOCC2)nn1-c1ccc(Cl)c(Cl)c1
4.0,CNC(=O)c1cc(Oc2ccc3nc(NC(=O)Nc4cc(C(F)(F)F)cc(C(F)(F)F)c4)sc3c2)ccn1
5.100000128334196,NC(=O)C1CCC(c2ccc(OCc3ccc(F)cc3)cc2)N1
5.823908740944319,FC(F)(F)Oc1ccc(Oc2ccc(N3CCC4(CC3)OCCc3sccc34)cc2)cc1
5.1249387366083,O=C(c1noc(-c2ccccc2)n1)N1CCC(Oc2ccc(CN3CCCC3)cc2)CC1
